,FB,FB,FB,FB,FB,SNAP,SNAP,SNAP,SNAP,SNAP,TWTR,TWTR,TWTR,TWTR,TWTR,PINS,PINS,PINS,PINS,PINS
,c,h,l,o,v,c,h,l,o,v,c,h,l,o,v,c,h,l,o,v
t,,,,,,,,,,,,,,,,,,,,
1572825600,194.7200012207,197.36999511719,193.80999755859,194.55000305176,16371292,15.35000038147,15.380000114441,15.14999961853,15.310000419617,17392700,30.049999237061,30.14999961853,29.610000610352,29.770000457764,20340172,20.579999923706,21.10000038147,20.229999542236,20.659999847412,21915364
1572912000,194.32000732422,195.75,193.60000610352,195.36999511719,9941954,14.829999923706,15.35000038147,14.810000419617,15.319999694824,18667000,29.809999465942,30.360000610352,29.709999084473,30.190000534058,16645852,20.469999313354,20.780000686646,20.299999237061,20.5,13286751
1572998400,191.55000305176,194.36999511719,191.35000610352,194.0299987793,10973019,14.409999847412,14.880000114441,14.229999542236,14.869999885559,23041300,29.540000915527,29.89999961853,29.39999961853,29.85000038147,15313793,20.040000915527,20.64999961853,19.979999542236,20.35000038147,11778305
1573084800,190.41999816895,193.44000244141,189.4700012207,191.91000366211,13472998,14.159999847412,14.699999809265,14.140000343323,14.409999847412,17196500,29.049999237061,29.590000152588,28.629999160767,29.0,22740598,19.989999771118,20.200000762939,19.60000038147,20.10000038147,11212898
1573171200,190.83999633789,192.33999633789,189.69999694824,190.0,10764784,14.189999580383,14.520000457764,14.090000152588,14.180000305176,14253200,29.209999084473,29.430000305176,29.049999237061,29.159999847412,10624448,20.059999465942,20.200000762939,19.860000610352,19.950000762939,8681906
1573430400,189.61000061035,190.08000183105,188.53999328613,189.92999267578,8637768,14.390000343323,14.409999847412,13.960000038147,14.130000114441,13130000,29.340000152588,29.35000038147,28.920000076294,29.129999160767,9693171,20.39999961853,20.520000457764,19.89999961853,20.090000152588,9982792
1573516800,194.4700012207,195.05999755859,189.74000549316,190.0,17615454,14.380000114441,14.640000343323,14.319999694824,14.380000114441,13021000,29.049999237061,29.5,28.930000305176,29.360000610352,15144150,20.520000457764,20.89999961853,20.159999847412,20.409999847412,7508475
1573603200,193.19000244141,195.69999694824,192.74000549316,194.69999694824,11009800,14.470000267029,14.640000343323,14.340000152588,14.380000114441,8472400,29.079999923706,29.299999237061,28.930000305176,29.040000915527,9316396,20.200000762939,20.39999961853,20.040000915527,20.379999160767,7087022
1573689600,193.14999389648,194.0299987793,191.44999694824,192.92999267578,9059897,14.369999885559,14.590000152588,14.210000038147,14.420000076294,16352600,28.889999389648,29.370000839233,28.729999542236,29.159999847412,13714694,19.60000038147,20.159999847412,19.579999923706,20.159999847412,6308081
1573776000,195.10000610352,195.30000305176,193.38000488281,194.25999450684,11530232,13.939999580383,14.60000038147,13.5,14.479999542236,33510300,29.25,29.430000305176,28.909999847412,29.049999237061,12170598,19.540000915527,20.059999465942,19.530000686646,19.719999313354,8484652
1574035200,197.39999389648,198.63000488281,193.05000305176,194.55999755859,16176107,14.689999580383,14.739999771118,14.039999961853,14.079999923706,33326600,29.489999771118,29.729999542236,29.010000228882,29.239999771118,14537556,19.5,19.659999847412,19.319999694824,19.5,7986767
1574121600,199.32000732422,200.0,196.86000061035,197.39999389648,19070292,15.159999847412,15.260000228882,14.390000343323,14.579999923706,24849000,29.440000534058,29.670000076294,29.180000305176,29.620000839233,9962480,19.680000305176,20.049999237061,19.360000610352,19.5,6877728
1574208000,197.50999450684,199.58999633789,195.42999267578,198.58000183105,12370240,15.310000419617,15.520000457764,15.010000228882,15.069999694824,21039100,29.170000076294,29.479999542236,28.879999160767,29.299999237061,14289029,19.39999961853,19.829999923706,19.319999694824,19.680000305176,6090331
1574294400,197.92999267578,199.08999633789,196.86000061035,197.41999816895,12130985,15.079999923706,15.630000114441,15.060000419617,15.329999923706,21572400,29.790000915527,30.489999771118,29.14999961853,29.200000762939,24304440,19.069999694824,19.510000228882,19.069999694824,19.299999237061,5879920
1574380800,198.82000732422,199.30000305176,197.61999511719,198.38000488281,9959817,15.260000228882,15.5,15.010000228882,15.180000305176,20997300,30.030000686646,30.170000076294,29.569999694824,29.870000839233,14188275,18.64999961853,19.159999847412,18.379999160767,19.090000152588,14809561
1574640000,199.78999328613,200.9700012207,199.25,199.50999450684,15286442,15.5,15.89999961853,15.489999771118,15.590000152588,25680700,30.540000915527,30.569999694824,30.049999237061,30.129999160767,14050926,18.950000762939,19.290000915527,18.639999389648,18.64999961853,8879461
1574726400,198.9700012207,200.14999389648,198.03999328613,200.0,11748664,15.460000038147,15.539999961853,15.159999847412,15.460000038147,20548400,30.959999084473,30.989999771118,30.39999961853,30.569999694824,16356423,19.520000457764,19.75,18.870000839233,19.0,18187002
1574812800,202.0,203.13999938965,199.41999816895,199.89999389648,12760568,15.35000038147,15.529999732971,15.229999542236,15.529999732971,11531700,31.170000076294,31.360000610352,30.930000305176,31.0,14190189,19.809999465942,19.909999847412,19.39999961853,19.659999847412,5693561
1574985600,201.63999938965,203.80000305176,201.21000671387,201.60000610352,7985231,15.25,15.359999656677,15.189999580383,15.229999542236,6311200,30.909999847412,31.139999389648,30.780000686646,31.110000610352,7814538,19.479999542236,19.729999542236,19.379999160767,19.659999847412,2966194
1575244800,199.69999694824,202.17999267578,198.05000305176,202.13000488281,11542020,14.60000038147,15.279999732971,14.539999961853,15.25,25337300,30.420000076294,30.950000762939,29.969999313354,30.909999847412,14550075,18.799999237061,19.510000228882,18.620000839233,19.5,6785446
